Year	PJDay_start	PJDay_end	Jday_start	size	dry_days	trt	block	plot_num	spp	tree	pre_PAR	pre_T	pre_VPD	Ys-min-15	Ys-min-20	Ys-min-d	Ys-max-15	Ys-max-20	Ys-max-d	Ys-15-D	Ys-20-D	Ys-d-D	Ys-min-15-avg	Ys-min-20-avg	Ys-min-d-avg	Ys-max-15-avg	Ys-max-20-avg	Ys-max-d-avg	 Ys-15-D-avg	Ys-20-D-avg	Ys-d-D-avg	vwc_min	vwc_max	vwc-D	vwc-min-avg	vwc-max-avg	vwc-D-avg	Js-pre	Js-post	Js-D	Js-d2
2007	447	447	82	9.652	36	1	3	9	P	1	1295.3	7.9007	1.1177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0033479	0.00095885	-0.0023891	0.041017	0.040244	-0.00077222	NA	NA	NA	NA
2007	448	453	83	11.938	1	1	3	9	P	1	1178.8	8.9174	0.5975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00095885	0.15719	0.15623	0.040244	0.10912	0.068874	NA	NA	NA	NA
2007	454	463	89	6.35	6	1	3	9	P	1	1554.7	8.4658	0.86708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10087	0.12331	0.022443	0.081838	0.091941	0.010103	NA	NA	NA	NA
2007	464	467	99	7.112	10	1	3	9	P	1	1377.3	10.071	1.1785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.070386	0.083707	0.013321	0.063914	0.069807	0.005893	NA	NA	NA	NA
2007	468	485	103	28.702	4	1	3	9	P	1	1053.6	9.4059	0.88469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.070459	0.17782	0.10736	0.063663	0.12183	0.058163	NA	NA	NA	NA
2007	486	486	121	10.414	18	1	3	9	P	1	1512.1	11.681	1.2649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.073861	0.071617	-0.0022443	0.065444	0.06763	0.0021864	NA	NA	NA	NA
2007	487	501	122	6.096	1	1	3	9	P	1	1718.1	16.675	2.2237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.071617	0.13315	0.061536	0.06763	0.1035	0.035865	NA	NA	NA	NA
2007	502	503	137	18.796	15	1	3	9	P	1	1496.9	14.489	1.421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.060034	0.10593	0.045899	0.056418	0.10345	0.047033	4.1582	17.01	12.852	NA
2007	504	526	139	4.229	2	1	3	9	P	1	1178.8	13.336	0.66813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.084866	0.10079	0.015927	0.079193	0.10075	0.021558	17.01	20.687	3.6769	17.83
2007	527	549	162	7.62	23	1	3	9	P	1	1809.4	18.458	2.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0077641	0.005375	-0.0023891	0.029573	0.04775	0.018176	1.0474	3.389	2.3416	3.389
2007	550	550	185	7.62	23	1	3	9	P	1	1771.9	24	3.3979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.01623	0.015787	-0.00044281	2.6477	4.9926	2.3449	NA
2007	551	556	186	3.048	1	1	3	9	P	1	1429.7	22.797	2.9512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.015787	0.039886	0.024099	4.9926	6.5305	1.5379	6.2147
2007	557	566	192	3.556	6	1	3	9	P	1	1518.3	22.81	2.7363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.019507	0.03979	0.020283	6.5305	7.6297	1.0993	5.1207
2007	567	569	202	4.318	10	1	3	9	P	1	1615.4	23.972	2.9124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.023283	0.02434	0.0010568	4.5429	4.9509	0.40799	4.0718
2007	570	576	205	4.572	3	1	3	9	P	1	1097.9	20.89	1.6592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.018947	0.034677	0.01573	4.0718	6.0319	1.9601	4.6359
2007	577	577	212	7.874	7	1	3	9	P	1	1319.7	21.517	2.277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0012125	0.0012125	0.025698	0.03925	0.013552	4.0159	5.4429	1.427	NA
2007	578	581	213	11.43	1	1	3	9	P	1	1160.9	19.498	1.775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0012125	0.132	0.13078	0.03925	0.09626	0.057009	5.4429	16.502	11.059	15.548
2007	582	599	217	9.146	4	1	3	9	P	1	1463.3	21.478	1.7544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.045555	0.12874	0.083183	0.061635	0.10117	0.039533	16.502	14.906	-1.5955	14.906
2007	600	603	235	3.556	18	1	3	9	P	1	1610.9	25.002	3.0055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.027818	0.020723	-0.0070948	0.034332	0.034294	-3.86E-05	6.6522	7.2951	0.64291	4.8651
2007	604	605	239	4.826	4	1	3	9	P	1	1463.4	24.134	2.8794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010443	0.0066781	-0.0037646	0.02773	0.030114	0.0023842	6.8473	7.8069	0.95962	NA
2007	606	608	241	21.34	2	1	3	9	P	1	1662.4	22.554	2.5025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0066781	0.15379	0.14711	0.030114	0.11797	0.08786	7.8069	17.616	9.8087	17.616
2007	609	627	244	5.842	3	1	3	9	P	1	1444.5	20.293	1.8042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.022479	0.15558	0.1331	0.040794	0.11131	0.07052	17.616	20.531	2.9153	17.972
2007	628	630	263	46.724	19	1	3	9	P	1	1439.9	20.872	2.1329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.051165	0.18638	0.13522	0.040142	0.13136	0.091215	1.2872	27.32	26.033	27.32
2007	631	641	266	4.318	3	1	3	9	P	1	1231.8	17.507	1.3492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11645	0.16727	0.050822	0.078688	0.12072	0.042029	27.32	33.516	6.1952	22.84
2007	642	699	277	3.302	11	1	3	9	P	1	1360.9	17.653	1.764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1129	0.10977	-0.0031311	0.078401	0.077959	-0.00044161	28.527	29.165	0.63762	25.713
2008	796	829	66	7.112	13	1	3	9	P	1	1293.8	6.6159	0.90087	NA	-0.1	-1.5798	-0.11174	-0.000322	-1.5371	NA	0.099678	0.042743	-0.48439	-0.48166	-1.04	-0.31653	-0.35989	-0.88862	0.15211	0.12177	0.10168	0.039582	0.037139	-0.0024434	0.058411	0.075765	0.017354	8.3458	8.9357	0.5899	8.9357
2008	830	864	100	4.826	34	1	3	9	P	1	1544.2	9.6618	1.2214	-0.94921	-0.1	-2.1602	-0.77576	-0.028537	-2.2051	0.17344	0.071463	-0.0449	-1.8562	-1.5893	-1.6228	-1.3939	-1.4131	-1.6046	0.46233	0.27415	0.018262	0	0	0	0.029036	0.036459	0.0074234	3.5795	6.6694	3.0899	2.6891
2008	865	865	135	3.556	35	1	3	9	P	1	1705.3	14.011	1.8213	-4.9284	-1.1866	-3.1523	-5.0912	-1.2345	-3.1966	-0.16272	-0.047851	-0.044317	-4.4151	-3.5291	-3.1471	-4.242	-3.63	-3.2962	0.25252	-0.058822	-0.066946	0	0	0	0.014873	0.012609	-0.0022636	3.4485	1.9691	-1.4794	NA
2008	866	905	136	3.81	1	1	3	9	P	1	953.04	9.9628	0.3925	-5.0912	-1.2345	-3.1966	-1.1752	-1.1124	-3.1259	3.916	0.12209	0.070733	-4.242	-3.63	-3.2962	-2.5568	-2.4343	-2.8505	1.9474	1.3237	0.24261	0	0	0	0.012609	0.036106	0.023496	1.9691	6.6375	4.6684	4.1778
2008	906	913	176	19	40	1	3	9	P	1	1709.5	21.412	2.8077	-6.1656	-4.4818	-4.5494	NA	-4.6604	-4.583	NA	-0.17854	-0.0336	-6.1016	-6.956	-5.0958	-1.3029	-2.7426	-4.0773	5.4013	4.0911	0.89291	0	0	0	0.011169	0.084825	0.073656	1.9684	9.6072	7.6388	6.3775
2008	914	914	184	5.334	8	1	3	9	P	1	1488.7	23.126	3.0144	NA	-4.9397	-4.7694	NA	-5.0762	-4.7785	NA	-0.1365	-0.009103	-3.2643	-6.1452	-5.351	-1.3238	-2.8446	-4.1353	2.0808	3.3006	1.2157	0	0	0	0.058772	0.0632	0.0044285	6.0059	7.6684	1.6625	NA
2008	915	919	185	4.318	1	1	3	9	P	1	1819	21.956	2.8112	NA	-5.0762	-4.7785	NA	-4.6839	-4.5583	NA	0.39236	0.22019	-1.3238	-2.8446	-4.1353	-1.2693	-2.4746	-3.9741	0.069631	0.37009	0.16121	0	0	0	0.0632	0.071575	0.0083749	7.6684	5.367	-2.3014	2.633
2008	920	923	190	8.894	5	1	3	9	P	1	1508.6	21.933	2.3925	NA	-5.0942	-4.7699	NA	-4.2748	-4.5557	NA	0.81948	0.21418	-1.7964	-3.0427	-4.1551	-1.2479	-2.089	-3.2948	0.44757	0.9538	0.60663	0	0.10613	0.10613	0.060254	0.10317	0.042919	2.8111	9.8539	7.0428	5.5907
2008	924	926	194	10.16	4	1	3	9	P	1	988.13	18.034	0.89594	NA	-4.7098	-4.5926	NA	-2.8978	-4.4937	NA	1.812	0.098873	-1.5752	-2.7434	-3.7369	-0.54546	-1.8045	-3.406	1.085	1.2226	0.72401	0.037024	0.10239	0.065362	0.074516	0.12392	0.049401	9.8539	14.793	4.9394	14.793
2008	927	929	197	19	3	1	3	9	P	1	1079	18.473	0.98708	NA	-4.3464	-4.5304	NA	-0.21846	-4.4379	NA	4.1279	0.092505	-0.6126	-2.2686	-3.524	-0.35081	-1.2925	-2.9915	0.38933	0.89062	0.27968	0.08521	0.14803	0.062821	0.098136	0.1383	0.040164	14.793	20.287	5.4934	18.843
2008	930	937	200	7.366	3	1	3	9	P	1	1817.5	23.465	2.2796	NA	-0.2424	-4.4645	NA	-0.15105	-4.4373	NA	0.091354	0.027208	-0.35081	-1.4021	-3.0879	-0.18095	-0.72607	-2.8176	0.04739	0.40591	0.27036	0.13514	0.14412	0.0089771	0.12506	0.12561	0.00055745	18.843	28.473	9.6295	16.635
2008	938	938	208	27.69	8	1	3	9	P	1	1339.2	22.415	2.1173	NA	-0.20863	-4.4592	NA	NA	NA	NA	NA	NA	-0.24686	-0.98906	-3.0096	NA	NA	NA	NA	NA	NA	0.12141	0.12861	0.0072034	0.094219	0.10708	0.012858	18.717	2.192	-16.525	NA
2008	939	947	209	28.95	1	1	3	9	P	1	539.31	18.788	0.30375	NA	NA	NA	NA	-0.11231	-0.29819	NA	NA	NA	NA	NA	NA	-0.18997	-0.19662	-0.94173	NA	NA	NA	0.12861	0.19625	0.067636	0.10708	0.17647	0.069394	2.192	30.183	27.991	26.212
2008	948	958	218	34.544	9	1	3	9	P	1	1700	24.111	2.7992	NA	-0.13976	-4.1664	NA	NA	NA	NA	NA	NA	-0.2025	-0.24944	-1.5985	NA	NA	NA	NA	NA	NA	0.14673	0.20307	0.056342	0.11095	0.18781	0.076853	32.949	29.182	-3.7671	26.74
2008	959	959	229	12.954	11	1	3	9	P	1	1606.5	21.812	2.0384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10984	0.10211	-0.0077283	0.1081	0.1032	-0.0048915	26.207	23.475	-2.7322	NA
2008	960	968	230	11.936	1	1	3	9	P	1	1213.3	17.617	1.4475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10211	0.18819	0.086079	0.1032	0.16981	0.066602	23.475	26.034	2.559	26.034
2008	969	973	239	19	9	1	3	9	P	1	1545.6	20.999	2.0337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10572	0.096684	-0.0090314	0.10796	0.13614	0.028185	28.765	31.015	2.2509	28.834
2008	974	982	244	17.272	5	1	3	9	P	1	1220	19.949	1.6382	NA	NA	NA	-0.13959	NA	NA	NA	NA	NA	NA	NA	NA	-0.14774	-0.23736	-0.29765	NA	NA	NA	0.078024	0.10356	0.025538	0.11333	0.15127	0.037941	25.907	30.212	4.3057	22.732
2008	983	1007	253	8.382	9	1	3	9	P	1	1442.2	19.36	1.9486	-0.50807	NA	NA	-0.58187	-0.009724	NA	-0.073799	NA	NA	-0.25701	-0.26845	-0.35104	-0.22743	-0.19052	-0.22223	0.00060643	0.015644	0.020533	0.066459	0.063491	-0.0029682	0.098778	0.11849	0.019707	30.018	37.731	7.7127	4.5405
2008	1008	1008	278	6.35	25	1	3	9	P	1	1408.9	17.957	1.9359	-1.6747	-0.74805	NA	-1.7869	-0.79005	NA	-0.11215	-0.042006	NA	-1.4573	-1.1814	-0.75634	-1.5587	-1.2294	-0.83906	-0.10139	-0.048048	-0.044558	0.0045786	0.0019181	-0.0026605	0.049157	0.047575	-0.0015829	19.301	16.624	-2.6766	NA
2008	1009	1017	279	29.464	1	1	3	9	P	1	1218.2	17.434	1.88	-1.7869	-0.79005	NA	NA	-0.0872	NA	NA	0.70286	NA	-1.5587	-1.2294	-0.83906	-0.64773	-0.34718	-0.53683	0.88815	0.88222	0.28763	0.0019181	0.095725	0.093807	0.047575	0.14891	0.10134	16.624	35.346	18.721	24.459
2008	1018	1023	288	10.16	9	1	3	9	P	1	1195.1	14.029	1.1396	NA	-0.16529	NA	-0.091891	NA	NA	NA	NA	NA	-1.1847	-0.94285	-0.8399	-0.069048	-0.24117	-0.60968	1.4885	0.80278	0.49614	0.056124	0.089861	0.033736	0.10247	0.12819	0.025722	23.638	41.379	17.741	21.241
2008	1024	1061	294	13.716	6	1	3	9	P	1	1201.7	10.639	1.131	-0.09977	NA	NA	-0.091237	-0.05417	NA	0.008533	NA	NA	-0.096111	-0.2837	-0.70887	-0.14625	-0.1997	-0.28523	0.053097	0.07081	0.33505	0.083436	0.10981	0.02637	0.11333	0.14919	0.035861	30.874	32.268	1.394	12.996
2009	1197	1209	101	9.652	60	1	3	9	P	1	1340.4	8.122	1.0739	-3.0317	-2.0345	NA	-3.2487	-2.1332	NA	-0.217	-0.098701	NA	-1.9068	-1.4847	-1.4167	-1.9955	-1.6665	-1.4746	-0.038871	-0.12918	-0.057911	0	0	0	0.025	0.05085	0.02585	7.0216	7.45	0.42839	7.45
2009	1210	1234	114	12.5	13	1	3	9	P	1	1574.8	11.647	1.4294	-4.0447	-2.4289	NA	-4.2535	-2.4481	NA	-0.20876	-0.019211	NA	-2.271	-1.8587	-1.6379	-1.6179	-1.6856	-1.4317	0.65313	0.21977	0.06564	0	0	0	0.031067	0.067232	0.036165	5.7086	8.2882	2.5796	6.6874
